id_pegawai,jk,tgl_lahir,rumpun_ilmu,stat_aktif,stat_pegawai,ikatan_kerja,pendidikan,pangkat,jabatan_akademik,sertifikasi,tahun_sertifikasi,tgl_jabatan_akademik,jenj_prodi,prodi,fakultas,usia,kelompok_usia,status_sertifikasi,mendekati_pensiun
560,P,1975-07-05,RUMPUN ILMU TERAPAN,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,51,51-55,Belum,False
561,L,1953-08-25,Tidak Terdefinisi,Aktif,NON ASN,Pengajar nondosen,Sp-1,Non-Golongan,Lektor Kepala,Belum Sertifikasi,,2009-04-24,Profesi,Pendidikan Profesi Dokter,FK,73,>55,Belum,True
562,P,1975-04-27,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,S3,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Akuntansi,FEB,51,51-55,Belum,False
563,P,1980-10-18,RUMPUN ILMU TERAPAN,Aktif,NON ASN,Dosen Tidak Tetap,S3,Non-Golongan,Belum Ada,Belum Sertifikasi,,,S1,Gizi,FIKES,46,41-50,Belum,False
564,P,1989-01-26,RUMPUN ILMU TERAPAN,Aktif,PNS,Dosen Tetap,S2,III/c - Penata,Lektor,Belum Sertifikasi,,2024-11-01,S1,Keperawatan,FIKES,37,30-40,Belum,False
565,L,1962-05-30,RUMPUN ILMU FORMAL,Aktif,PNS,Dosen Tetap,S2,III/d - Penata Tk. I,Lektor,Sertifikasi Dosen,2016.0,2000-12-01,S1,Sistem Informasi,FIK,64,>55,Bersertifikat,True
566,P,1965-05-22,Tidak Terdefinisi,Aktif,POLRI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,61,>55,Belum,True
567,L,1973-09-27,Tidak Terdefinisi,Aktif,NON ASN,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,53,51-55,Belum,False
568,L,1965-12-13,Tidak Terdefinisi,Aktif,TNI,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,61,>55,Belum,True
569,P,1974-08-25,Tidak Terdefinisi,Aktif,ASN JF Non Dosen,Dosen Tidak Tetap,Sp-1,Non-Golongan,Belum Ada,Belum Sertifikasi,,,Profesi,Pendidikan Profesi Dokter,FK,52,51-55,Belum,False
